config_idx,W11_mean,W11_var,W12_mean,W12_var,W13_mean,W13_var,W22_mean,W22_var
0,0.419154770225,0.354760856033,0.240933489294,0.46528894568,0.15008661029,0.464056850093,0.077645749918,0.460803576665
1,0.477282134071,0.331522555701,0.257938550973,0.44447609423,0.129000325867,0.472769225515,0.080505058799,0.498826890943
2,0.445909812007,0.342250814074,0.177082988653,0.489883396815,0.081344259979,0.510298557728,-0.063698510315,0.475957230884
3,0.392389370576,0.349503369323,0.143964850493,0.503969473748,-0.001963721472,0.521142149395,0.004949166117,0.498830571423
4,0.405792062644,0.361368199192,0.17734082339,0.44270934703,0.076274049414,0.500239495869,0.036835140305,0.488794746907
5,0.501650559946,0.299949050413,0.216728008301,0.46966939891,0.127657897933,0.475200311923,0.064188794921,0.535884035789
6,0.435951520973,0.3478551733,0.163667328525,0.479026622051,0.099633211397,0.472907460298,0.013881167755,0.467093324896
7,0.377441079706,0.3704191357,0.182900397327,0.488675874457,0.054438184034,0.498687508862,-0.018613558636,0.502599668922
8,0.430483982733,0.371227652384,0.204412292699,0.460237920398,0.133158145609,0.480351940153,0.016419038327,0.521765706477
9,0.534769304939,0.303323558995,0.312509989037,0.439729812151,0.156364325125,0.467956626615,0.131658312656,0.46939633574
10,0.467905562418,0.354228364996,0.228030295877,0.461944665269,0.135315007816,0.480005903834,-0.012910413344,0.50142600116
11,0.393902008362,0.353783287249,0.179209670819,0.474341473257,0.04998739082,0.518516165045,0.082758635204,0.503605308302
12,0.455105398525,0.328266941217,0.196142770906,0.459523763176,0.099961228637,0.481649253996,-0.002744476832,0.483887217943
13,0.406923837259,0.401412765592,0.153269332431,0.467328511391,0.06585214393,0.484961113871,-0.030802695857,0.487830870955
14,0.470032248374,0.303456215641,0.172098862684,0.472382439414,0.102068815593,0.51334193718,-0.009586360171,0.481150056256
15,0.420890321668,0.371194653273,0.143940427951,0.489582111914,0.071950283047,0.49964156549,0.016461466919,0.497140991866
16,0.411284183925,0.403964436713,0.18358644883,0.475092058418,0.104825499979,0.493890175275,-0.013666285755,0.517491034443
17,0.44177007375,0.34260881207,0.193935636664,0.477540334919,0.104238587793,0.470235865471,0.124066953317,0.505629523455
18,0.447006944802,0.376983243676,0.222933526275,0.468639815357,0.111800353801,0.458320764899,0.011624818287,0.510728289536
19,0.5014286102,0.292520859093,0.284212882897,0.419017377153,0.171530808495,0.466807232531,0.075484903859,0.490013697873
20,0.336782419385,0.40100659504,0.064926527149,0.467976937448,0.037551261465,0.513161384561,0.036671487804,0.485918129681
21,0.46808534907,0.341602776704,0.253282370181,0.441882811339,0.120339558209,0.470435225696,0.071754514851,0.490221148023
22,0.412317828885,0.377865797529,0.155503920216,0.448863514936,0.050788269049,0.517425904838,-0.078851749483,0.44644115584
23,0.436117403373,0.346235058612,0.199239461536,0.453904896423,0.084261609332,0.470215818902,0.005850679328,0.504253486078
24,0.441955737438,0.376112050799,0.201395499686,0.463420085834,0.090534732053,0.51317641459,-0.064302861742,0.478672269198
25,0.50707831238,0.296116035833,0.230126235376,0.4479890075,0.101011979875,0.45861447262,0.046476821422,0.499054320985
26,0.47970049742,0.329107749505,0.228393681967,0.459377996261,0.122115951344,0.494354813725,0.03476932261,0.527142528079
27,0.475007326752,0.321059426219,0.23598279582,0.429605282153,0.089925283361,0.469703265054,0.030634358223,0.521091892477
28,0.461810591407,0.349321797115,0.204238478431,0.438379077256,0.042869425238,0.48961129067,0.068711839435,0.481487693448
29,0.493033684086,0.31765267039,0.260706917431,0.435159620779,0.124762289357,0.498158839488,0.092159942477,0.497890688354
30,0.496706515108,0.318604120605,0.284816481289,0.442476141306,0.193720082404,0.461031425191,0.084725205946,0.457561506917
31,0.485723311027,0.345073978362,0.179479226791,0.475962428927,0.055043202783,0.491263182851,-0.049382338855,0.495932732124
